īnsulae bonae, Nominative, pl., f 
īnsularum bonarum, Genitive, pl., f 
īnsulis bonis, Dative, pl., f 
īnsulas bonas, Accusative, pl., f 
īnsulis bonis, Ablative, pl., f 
invidia bona, Nominative, sg., f 
invidiae bonae, Genitive, sg., f 
invidiae bonae, Dative, sg., f 
invidiam bonam, Accusative, sg., f 
invidiā bonā, Ablative, sg., f 
invidiae bonae, Nominative, pl., f 
invidiarum bonarum, Genitive, pl., f 
invidiis bonis, Dative, pl., f 
invidias bonas, Accusative, pl., f 
invidiis bonis, Ablative, pl., f 
ira bona, Nominative, sg., f 
irae bonae, Genitive, sg., f 
irae bonae, Dative, sg., f 
iram bonam, Accusative, sg., f 
irā bonā, Ablative, sg., f 
irae bonae, Nominative, pl., f 
irarum bonarum, Genitive, pl., f 
iris bonis, Dative, pl., f 
iras bonas, Accusative, pl., f 
iris bonis, Ablative, pl., f 
lacrima bona, Nominative, sg., f 
lacrimae bonae, Genitive, sg., f 
lacrimae bonae, Dative, sg., f 
lacrimam bonam, Accusative, sg., f 
lacrimā bonā, Ablative, sg., f 
lacrimae bonae, Nominative, pl., f 
lacrimarum bonarum, Genitive, pl., f 
lacrimis bonis, Dative, pl., f 
lacrimas bonas, Accusative, pl., f 
lacrimis bonis, Ablative, pl., f 
lingua bona, Nominative, sg., f 
linguae bonae, Genitive, sg., f 
linguae bonae, Dative, sg., f 
linguam bonam, Accusative, sg., f 
linguā bonā, Ablative, sg., f 
linguae bonae, Nominative, pl., f 
linguarum bonarum, Genitive, pl., f 
linguis bonis, Dative, pl., f 
linguas bonas, Accusative, pl., f 
linguis bonis, Ablative, pl., f 
littera bona, Nominative, sg., f 
litterae bonae, Genitive, sg., f 
litterae bonae, Dative, sg., f 
litteram bonam, Accusative, sg., f 
litterā bonā, Ablative, sg., f 
litterae bonae, Nominative, pl., f 
litterarum bonarum, Genitive, pl., f 
litteris bonis, Dative, pl., f 
litteras bonas, Accusative, pl., f 
litteris bonis, Ablative, pl., f 
lūna bona, Nominative, sg., f 
lūnae bonae, Genitive, sg., f 
lūnae bonae, Dative, sg., f 
lūnam bonam, Accusative, sg., f 
lūnā bonā, Ablative, sg., f 
lūnae bonae, Nominative, pl., f 
lūnarum bonarum, Genitive, pl., f 
lūnis bonis, Dative, pl., f 
lūnas bonas, Accusative, pl., f 
lūnis bonis, Ablative, pl., f 
māteria bona, Nominative, sg., f 
māteriae bonae, Genitive, sg., f 
māteriae bonae, Dative, sg., f 
māteriam bonam, Accusative, sg., f 
māteriā bonā, Ablative, sg., f 
māteriae bonae, Nominative, pl., f 
māteriarum bonarum, Genitive, pl., f 
māteriis bonis, Dative, pl., f 
māterias bonas, Accusative, pl., f 
māteriis bonis, Ablative, pl., f 
memoria bona, Nominative, sg., f 
memoriae bonae, Genitive, sg., f 
memoriae bonae, Dative, sg., f 
memoriam bonam, Accusative, sg., f 
memoriā bonā, Ablative, sg., f 
memoriae bonae, Nominative, pl., f 
memoriarum bonarum, Genitive, pl., f 
memoriis bonis, Dative, pl., f 
memorias bonas, Accusative, pl., f 
memoriis bonis, Ablative, pl., f 
mēnsa bona, Nominative, sg., f 
mēnsae bonae, Genitive, sg., f 
mēnsae bonae, Dative, sg., f 
mēnsam bonam, Accusative, sg., f 
mēnsā bonā, Ablative, sg., f 
mēnsae bonae, Nominative, pl., f 
mēnsarum bonarum, Genitive, pl., f 
mēnsis bonis, Dative, pl., f 
mēnsas bonas, Accusative, pl., f 
mēnsis bonis, Ablative, pl., f 
mora bona, Nominative, sg., f 
morae bonae, Genitive, sg., f 
morae bonae, Dative, sg., f 
moram bonam, Accusative, sg., f 
morā bonā, Ablative, sg., f 
morae bonae, Nominative, pl., f 
morarum bonarum, Genitive, pl., f 
moris bonis, Dative, pl., f 
moras bonas, Accusative, pl., f 
moris bonis, Ablative, pl., f 
nātūra bona, Nominative, sg., f 
nātūrae bonae, Genitive, sg., f 
nātūrae bonae, Dative, sg., f 
nātūram bonam, Accusative, sg., f 
nātūrā bonā, Ablative, sg., f 
nātūrae bonae, Nominative, pl., f 
nātūrarum bonarum, Genitive, pl., f 
nātūris bonis, Dative, pl., f 
nātūras bonas, Accusative, pl., f 
nātūris bonis, Ablative, pl., f 
opera bona, Nominative, sg., f 
operae bonae, Genitive, sg., f 
operae bonae, Dative, sg., f 
operam bonam, Accusative, sg., f 
operā bonā, Ablative, sg., f 
operae bonae, Nominative, pl., f 
operarum bonarum, Genitive, pl., f 
operis bonis, Dative, pl., f 
operas bonas, Accusative, pl., f 
operis bonis, Ablative, pl., f 
patria bona, Nominative, sg., f 
patriae bonae, Genitive, sg., f 
patriae bonae, Dative, sg., f 
patriam bonam, Accusative, sg., f 
patriā bonā, Ablative, sg., f 
patriae bonae, Nominative, pl., f 
patriarum bonarum, Genitive, pl., f 
patriis bonis, Dative, pl., f 
patrias bonas, Accusative, pl., f 
patriis bonis, Ablative, pl., f 
pecūnia bona, Nominative, sg., f 
pecūniae bonae, Genitive, sg., f 
pecūniae bonae, Dative, sg., f 
pecūniam bonam, Accusative, sg., f 
pecūniā bonā, Ablative, sg., f 
pecūniae bonae, Nominative, pl., f 
pecūniarum bonarum, Genitive, pl., f 
pecūniis bonis, Dative, pl., f 
pecūnias bonas, Accusative, pl., f 
pecūniis bonis, Ablative, pl., f 
poena bona, Nominative, sg., f 
poenae bonae, Genitive, sg., f 
poenae bonae, Dative, sg., f 
poenam bonam, Accusative, sg., f 
poenā bonā, Ablative, sg., f 
poenae bonae, Nominative, pl., f 
poenarum bonarum, Genitive, pl., f 
poenis bonis, Dative, pl., f 
poenas bonas, Accusative, pl., f 
poenis bonis, Ablative, pl., f 
poēta bona, Nominative, sg., f 
poētae bonae, Genitive, sg., f 
poētae bonae, Dative, sg., f 
poētam bonam, Accusative, sg., f 
poētā bonā, Ablative, sg., f 
poētae bonae, Nominative, pl., f 
poētarum bonarum, Genitive, pl., f 
poētis bonis, Dative, pl., f 
poētas bonas, Accusative, pl., f 
poētis bonis, Ablative, pl., f 
porta bona, Nominative, sg., f 
portae bonae, Genitive, sg., f 
portae bonae, Dative, sg., f 
portam bonam, Accusative, sg., f 
portā bonā, Ablative, sg., f 
portae bonae, Nominative, pl., f 
portarum bonarum, Genitive, pl., f 
portis bonis, Dative, pl., f 
portas bonas, Accusative, pl., f 
portis bonis, Ablative, pl., f 
praeda bona, Nominative, sg., f 
praedae bonae, Genitive, sg., f 
praedae bonae, Dative, sg., f 
praedam bonam, Accusative, sg., f 
praedā bonā, Ablative, sg., f 
praedae bonae, Nominative, pl., f 
praedarum bonarum, Genitive, pl., f 
praedis bonis, Dative, pl., f 
praedas bonas, Accusative, pl., f 
praedis bonis, Ablative, pl., f 
prōvincia bona, Nominative, sg., f 
prōvinciae bonae, Genitive, sg., f 
prōvinciae bonae, Dative, sg., f 
prōvinciam bonam, Accusative, sg., f 
prōvinciā bonā, Ablative, sg., f 
prōvinciae bonae, Nominative, pl., f 
prōvinciarum bonarum, Genitive, pl., f 
prōvinciis bonis, Dative, pl., f 
prōvincias bonas, Accusative, pl., f 
prōvinciis bonis, Ablative, pl., f 
puella bona, Nominative, sg., f 
puellae bonae, Genitive, sg., f 
puellae bonae, Dative, sg., f 
puellam bonam, Accusative, sg., f 
puellā bonā, Ablative, sg., f 
puellae bonae, Nominative, pl., f 
puellarum bonarum, Genitive, pl., f 
puellis bonis, Dative, pl., f 
puellas bonas, Accusative, pl., f 
puellis bonis, Ablative, pl., f 
pūgna bona, Nominative, sg., f 
pūgnae bonae, Genitive, sg., f 
pūgnae bonae, Dative, sg., f 
pūgnam bonam, Accusative, sg., f 
pūgnā bonā, Ablative, sg., f 
pūgnae bonae, Nominative, pl., f 
pūgnarum bonarum, Genitive, pl., f 
pūgnis bonis, Dative, pl., f 
pūgnas bonas, Accusative, pl., f 
pūgnis bonis, Ablative, pl., f 
rīpa bona, Nominative, sg., f 
rīpae bonae, Genitive, sg., f 
rīpae bonae, Dative, sg., f 
rīpam bonam, Accusative, sg., f 
rīpā bonā, Ablative, sg., f 
rīpae bonae, Nominative, pl., f 
rīparum bonarum, Genitive, pl., f 
rīpis bonis, Dative, pl., f 
rīpas bonas, Accusative, pl., f 
rīpis bonis, Ablative, pl., f 
