familia tristis, Nominative, sg., f 
familiae tristis, Genitive, sg., f 
familiae tristi, Dative, sg., f 
familiam tristem, Accusative, sg., f 
familiā tristi, Ablative, sg., f 
familiae tristes, Nominative, pl., f 
familiarum tristium, Genitive, pl., f 
familiis tristibus, Dative, pl., f 
familias tristes, Accusative, pl., f 
familiis tristibus, Ablative, pl., f 
fēmina tristis, Nominative, sg., f 
fēminae tristis, Genitive, sg., f 
fēminae tristi, Dative, sg., f 
fēminam tristem, Accusative, sg., f 
fēminā tristi, Ablative, sg., f 
fēminae tristes, Nominative, pl., f 
fēminarum tristium, Genitive, pl., f 
fēminis tristibus, Dative, pl., f 
fēminas tristes, Accusative, pl., f 
fēminis tristibus, Ablative, pl., f 
flamma tristis, Nominative, sg., f 
flammae tristis, Genitive, sg., f 
flammae tristi, Dative, sg., f 
flammam tristem, Accusative, sg., f 
flammā tristi, Ablative, sg., f 
flammae tristes, Nominative, pl., f 
flammarum tristium, Genitive, pl., f 
flammis tristibus, Dative, pl., f 
flammas tristes, Accusative, pl., f 
flammis tristibus, Ablative, pl., f 
fōrma tristis, Nominative, sg., f 
fōrmae tristis, Genitive, sg., f 
fōrmae tristi, Dative, sg., f 
fōrmam tristem, Accusative, sg., f 
fōrmā tristi, Ablative, sg., f 
fōrmae tristes, Nominative, pl., f 
fōrmarum tristium, Genitive, pl., f 
fōrmis tristibus, Dative, pl., f 
fōrmas tristes, Accusative, pl., f 
fōrmis tristibus, Ablative, pl., f 
fortūna tristis, Nominative, sg., f 
fortūnae tristis, Genitive, sg., f 
fortūnae tristi, Dative, sg., f 
fortūnam tristem, Accusative, sg., f 
fortūnā tristi, Ablative, sg., f 
fortūnae tristes, Nominative, pl., f 
fortūnarum tristium, Genitive, pl., f 
fortūnis tristibus, Dative, pl., f 
fortūnas tristes, Accusative, pl., f 
fortūnis tristibus, Ablative, pl., f 
fuga tristis, Nominative, sg., f 
fugae tristis, Genitive, sg., f 
fugae tristi, Dative, sg., f 
fugam tristem, Accusative, sg., f 
